     xj
xi         1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30     31     32     33     34     35     36     37     38     39     40     41     42     43     44     45     46     47     48     49     50     51     52     53     54     55     56     57     58     59     60     61     62     63     64     65     66     67     68     69     70     71     72     73     74     75     76     77     78     79     80     81     82     83     84     85     86     87     88     89     90     91     92     93     94     95     96     97     98     99    100
  34       0      0      6      6     17     15     21     29     42     51     69     83    118    119    107    158    179    177    195    218    229    266    282    277    308    317    385    377    329    317    351    415    428    526    464    391    352    321    222    141    122    221    308    226    231     74     69     47    155    227     35     38     36     37     49    210     40     45     37    135     58     20     20     26     28    109      8      9      8     28     19     13     10      9     62     21     28      8     11      6      0      0      0      0     14      6     10      0      0      0      0      0      0      0      0      6      0      0      0      0
  35       0      0      0      6      7     12     17     30     37     55     59     58     85     90     96     97    141    150    159    184    212    205    220    196    225    293    338    322    293    270    304    397    388    448    427    372    337    309    217    142    143    254    262    204    211     60     76     64    163    244     56     52     32     37     33    223     44     45     39    111     74     13     12     18     29    108      7     14     16     27     19     11      7      9     60     27     20     21      6      6      6      0      6      0     12      6     10      0      0      0      0      0      6      0      0      0      0      0      0      0
  36       0      0      0      0      9     14     17     14     16     40     37     53     69     82     73     94    104    108    128    119    136    133    169    174    206    207    272    229    199    231    236    307    314    397    386    306    319    288    189    140    127    242    268    182    189     46     57     64    142    217     46     35     40     25     19    185     43     36     30     95     56     14     17     16     24    108     11     14      8     27     17     10      6      8     65     22     24     13     10      0      0      0      0      0     16      0      8      0      0      0      0      6      0      0      0      0      0      0      0      0
  37       0      0      0      0      6      6     22     18     25     26     22     51     61     67     63     70     79    104    107    137    140    114    138    133    166    198    217    212    180    192    195    273    277    356    348    290    296    280    190    149    131    220    276    214    204     52     58     56    144    226     56     30     35     40     33    229     46     31     31    102     68     24     14     24     37    114     15      6      8     20     15      6      8      6     53     25     28     15      8      6      0      0      0      6     16      6     10      0      0      0      0      0      6      0      0      0      0      0      0      0
  38       0      0      0      0      0     10      7     14     16     24     29     35     44     50     76     77     76     73     96     96    100    112    111    125    112    182    201    198    173    172    197    273    253    343    354    301    277    295    227    166    127    208    284    213    204     53     62     53    139    233     51     39     42     36     35    235     43     41     38    112     68     22     16     26     38     95     10      6      6     26     12     13      7      8     68     24     23     12      9      0      0      6      7      0     10      0      6      0      0      0      0      6      0      0      0      6      0      0      0      0
  39       0      0      0      0      0      6      0     13     13      7     14     24     35     35     34     50     50     58     65     65     79     75     78    107    103    119    122    152    121    116    115    166    164    217    227    200    207    227    160    128    113    197    249    174    163     60     58     44    120    188     46     36     33     19     22    177     39     36     18     75     47     24     18     12     26     93     10      6      9     21     12      7      9      6     39     15     18     19      0      6      6      0      0      0     15      6     13      0      0      0      0      0      0      0      0      0      0      0      0      0
  40       0      0      0      0      0      0      0      6      7      7      7     19     15     24     20     31     30     45     49     53     67     43     69     55     63     70     85    106     89     66     88    118    124    165    145    136    148    158    104     73     71    146    182    127    124     43     37     24     76    143     25     19     21     23     22    127     15     26     27     64     30     10      9      7     18     58      8      7      0     19     11      7      6      6     39     11     15     13      9      0      6      0      0      0      6      6      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  41       0      0      0      0      0      6      8      6      6      8     10     19     16     25     26     26     38     32     37     36     40     54     52     50     64     71     98     76     73     71     81    125    121    170    127    128    136    148    102     98     87    153    153    139    133     34     36     34     76    126     24     24     19     21     31    111     21     31     22     81     36      8     22     10     18     68      6      9      7     16      7      6      6      6     37     14     16      6      6      0      0      0      0      0     10      6      6      0      0      0      0      0      0      0      0      0      0      0      0      0
  42       0      0      0      0      0      0      6      7     13     15     20     20     26     35     43     45     54     63     62     78     78     80     76     89    104    111    174    147    136    126    141    199    185    228    258    266    242    286    208    166    139    253    357    226    248     69     83     59    191    263     47     54     43     42     41    234     57     56     35    114     61     19     28     23     41    134     11      7     11     41     27      7      7     11     71     24     26     28     11      0      0      6      0      0     16      0     12      0      0      0      0      0      6      0      0      0      0      0      0      0
  43       0      0      0      0      0      6     10     17     15     13     12     25     31     45     43     47     73     70     61     75     71     87     98    126    106    158    148    158    133    146    155    226    223    270    284    263    297    290    235    180    188    347    419    355    365    101     85    110    281    401     78     81     55     52     68    407     84     60     53    184     92     35     41     40     45    179     13      7     19     37     30     16     12      8    101     49     31     15     19      6      8      6      6      6     25      7     20      0      0      6      0      9      0      0      0      0      0      0      0      0
